"id","Symbol","Company","Marketcap"
"894","RISHABH","Rishabh Instruments Limited","  221,258 "
"895","IRMENERGY","IRM Energy Limited","  220,963 "
"896","RPGLIFE","RPG Life Sciences Limited","  220,936 "
"897","CARYSIL","CARYSIL LIMITED","  220,454 "
"898","SDBL","Som Distilleries & Breweries Limited","  220,440 "
"899","ADFFOODS","ADF Foods Limited","  219,892 "
"900","ORIENTHOT","Oriental Hotels Limited","  218,159 "
"901","FILATEX","Filatex India Limited","  218,155 "
"902","PCJEWELLER","PC Jeweller Limited","  217,344 "
"903","63MOONS","63 moons technologies limited","  217,237 "
"904","FINOPB","Fino Payments Bank Limited","  217,148 "
"905","EVERESTIND","Everest Industries Limited","  217,072 "
"906","RPSGVENT","RPSG VENTURES LIMITED","  216,761 "
"907","HUHTAMAKI","Huhtamaki India Limited","  216,672 "
"908","PRECWIRE","Precision Wires India Limited","  215,194 "
"909","GTPL","GTPL Hathway Limited","  214,917 "
"910","ASTEC","Astec LifeSciences Limited","  214,770 "
"911","XPROINDIA","Xpro India Limited","  214,516 "
"912","SADHNANIQ","Sadhana Nitrochem Limited","  214,076 "
"913","GANECOS","Ganesha Ecosphere Limited","  214,026 "
"914","GREENPOWER","Orient Green Power Company Limited","  213,798 "
"915","JINDRILL","Jindal Drilling And Industries Limited","  213,562 "
"916","RUPA","Rupa & Company Limited","  213,484 "
"917","SANGAMIND","Sangam (India) Limited","  213,473 "
"918","ARMANFIN","Arman Financial Services Limited","  212,349 "
"919","ATFL","Agro Tech Foods Limited","  212,171 "
"920","HIL","HIL Limited","  212,171 "
"921","MTNL","Mahanagar Telephone Nigam Limited","  211,995 "
"922","KSL","Kalyani Steels Limited","  211,521 "
"923","ACCELYA","Accelya Solutions India Limited","  211,304 "
"924","SASKEN","Sasken Technologies Limited","  210,915 "
"925","BHARATWIRE","Bharat Wire Ropes Limited","  210,128 "
"926","SHRIRAMPPS","Shriram Properties Limited","  208,055 "
"927","INDOSTAR","IndoStar Capital Finance Limited","  207,965 "
"928","SALASAR","Salasar Techno Engineering Limited","  207,576 "
"929","VIDHIING","Vidhi Specialty Food Ingredients Limited","  207,472 "
"930","TNPL","Tamil Nadu Newsprint & Papers Limited","  207,182 "
"931","PARACABLES","Paramount Communications Limited","  206,412 "
"932","KIRIINDUS","Kiri Industries Limited","  206,404 "
"933","TCPLPACK","TCPL Packaging Limited","  205,906 "
"934","ADORWELD","Ador Welding Limited","  205,704 "
"935","MANGLMCEM","Mangalam Cement Limited","  205,171 "
"936","JAGRAN","Jagran Prakashan Limited","  203,833 "
"937","RIIL","Reliance Industrial Infrastructure Limited","  203,571 "
"938","SPECTRUM","Spectrum Electrical Industries Limited","  202,810 "
"939","EXPLEOSOL","Expleo Solutions Limited","  201,594 "
"940","BFINVEST","BF Investment Limited","  201,333 "
"941","SHK","S H Kelkar and Company Limited","  201,333 "
"942","PANAMAPET","Panama Petrochem Limited","  200,778 "
"943","VAKRANGEE","Vakrangee Limited","  200,778 "
"944","FMGOETZE","Federal-Mogul Goetze (India) Limited.","  200,637 "
"945","AEROFLEX","Aeroflex Industries Limited","  200,447 "
"946","TTKHLTCARE","TTK Healthcare Limited","  200,276 "
"947","INSECTICID","Insecticides (India) Limited","  200,200 "
"948","VERANDA","Veranda Learning Solutions Limited","  198,597 "
"949","THEJO","Thejo Engineering Limited","  198,188 "
"950","KCP","KCP Limited","  198,152 "
"951","MOL","Meghmani Organics Limited","  197,856 "
"952","CANTABIL","Cantabil Retail India Limited","  196,707 "
"953","THEMISMED","Themis Medicare Limited","  196,663 "
"954","MARATHON","Marathon Nextgen Realty Limited","  195,917 "
"955","ARVSMART","Arvind SmartSpaces Limited","  194,728 "
"956","QUICKHEAL","Quick Heal Technologies Limited","  192,642 "
"957","SJS","S.J.S. Enterprises Limited","  192,063 "
"958","SMLISUZU","SML Isuzu Limited","  191,337 "
"959","GNA","GNA Axles Limited","  191,085 "
"960","SUBEXLTD","Subex Limited","  190,800 "
"961","DPSCLTD","DPSC Limited","  190,376 "
"962","RAMCOIND","Ramco Industries Limited","  188,332 "
"963","JASH","Jash Engineering Limited","  188,197 "
"964","SHAKTIPUMP","Shakti Pumps (India) Limited","  188,121 "
"965","MUFTI","Credo Brands Marketing Limited","  187,440 "
"966","GEOJITFSL","Geojit Financial Services Limited","  187,010 "
"967","BUTTERFLY","Butterfly Gandhimathi Appliances Limited","  185,938 "
"968","YASHO","Yasho Industries Limited","  185,830 "
"969","TALBROAUTO","Talbros Automotive Components Limited","  184,505 "
"970","CAPACITE","Capacit'e Infraprojects Limited","  184,112 "
"971","RANEHOLDIN","Rane Holdings Limited","  183,506 "
"972","GOKULAGRO","Gokul Agro Resources Limited","  183,101 "
"973","GOLDIAM","Goldiam International Limited","  182,139 "
"974","VADILALIND","Vadilal Industries Limited","  181,795 "
"975","NITINSPIN","Nitin Spinners Limited","  181,731 "
"976","NELCO","NELCO Limited","  181,269 "
"977","MADRASFERT","Madras Fertilizers Limited","  178,339 "
"978","VSSL","Vardhman Special Steels Limited","  177,741 "
"979","HLVLTD","HLV LIMITED","  177,671 "
"980","RAMASTEEL","Rama Steel Tubes Limited","  177,608 "
"981","ROSSELLIND","Rossell India Limited","  176,910 "
"982","PIXTRANS","Pix Transmissions Limited","  176,113 "
"983","SUVEN","Suven Life Sciences Limited","  176,095 "
"984","5PAISA","5Paisa Capital Limited","  176,038 "
"985","UNITECH","Unitech Limited","  175,292 "
"986","PNBGILTS","PNB Gilts Limited","  174,790 "
"987","CENTUM","Centum Electronics Limited","  173,846 "
"988","AMRUTANJAN","Amrutanjan Health Care Limited","  173,305 "
"989","HARIOMPIPE","Hariom Pipe Industries Limited","  172,767 "
"990","MANINDS","Man Industries (India) Limited","  171,414 "
"991","BCLIND","Bcl Industries Limited","  170,984 "
"992","PREMEXPLN","Premier Explosives Limited","  170,746 "
"993","WHEELS","Wheels India Limited","  169,638 "
"994","NDTV","New Delhi Television Limited","  169,173 "
"995","DHAMPURSUG","Dhampur Sugar Mills Limited","  168,293 "
"996","PENIND","Pennar Industries Limited","  168,278 "
"997","DCW","DCW Limited","  167,943 "
"998","DREDGECORP","Dredging Corporation of India Limited","  167,790 "
"999","NSIL","Nalwa Sons Investments Limited","  167,254 "
"1000","SPCENET","Spacenet Enterprises India Limited","  166,583 "
"1001","GTLINFRA","GTL Infrastructure Limited","  166,491 "
"1002","SURYODAY","Suryoday Small Finance Bank Limited","  166,251 "
"1003","UNIVCABLES","Universal Cables Limited","  165,579 "
"1004","SICALLOG","Sical Logistics Limited","  165,374 "
"1005","HIMATSEIDE","Himatsingka Seide Limited","  165,162 "
"1006","FAIRCHEMOR","Fairchem Organics Limited","  164,474 "
"1007","DEEPINDS","Deep Industries Limited","  164,096 "
"1008","DWARKESH","Dwarikesh Sugar Industries Limited","  163,634 "
"1009","IGARASHI","Igarashi Motors India Limited","  163,324 "
"1010","SHANKARA","Shankara Building Products Limited","  163,076 "
"1011","SERVOTECH","Servotech Power Systems Limited","  163,000 "
"1012","PUNJABCHEM","Punjab Chemicals & Crop Protection Limited","  161,916 "
"1013","ACLGATI","Allcargo Gati Limited","  161,690 "
"1014","CONTROLPR","Control Print Limited","  160,238 "
"1015","COSMOFIRST","COSMO FIRST LIMITED","  160,097 "
"1016","HPL","HPL Electric & Power Limited","  160,076 "
"1017","BHAGCHEM","Bhagiradha Chemicals & Industries Limited","  159,709 "
"1018","AHL","Abans Holdings Limited","  159,314 "
"1019","HERANBA","Heranba Industries Limited","  159,234 "
"1020","ATULAUTO","Atul Auto Limited","  158,765 "
"1021","GVKPIL","GVK Power & Infrastructure Limited","  158,651 "
"1022","INDRAMEDCO","Indraprastha Medical Corporation Limited","  158,090 "
"1023","SIGACHI","Sigachi Industries Limited","  158,016 "
"1024","NPST","Network People Services Technologies Limited","  157,925 "
"1025","HITECH","Hi-Tech Pipes Limited","  157,591 "
"1026","SPIC","Southern Petrochemicals Industries Corporation  Limited","  157,312 "
"1027","AJMERA","Ajmera Realty & Infra India Limited","  156,116 "
"1028","MVGJL","Manoj Vaibhav Gems N Jewellers Limited","  155,726 "
"1029","VASCONEQ","Vascon Engineers Limited","  155,143 "
"1030","GENESYS","Genesys International Corporation Limited","  155,068 "
"1031","UTTAMSUGAR","Uttam Sugar Mills Limited","  154,688 "
"1032","NIITLTD","NIIT Limited","  154,648 "
"1033","SHAILY","Shaily Engineering Plastics Limited","  154,184 "
"1034","NAVKARCORP","Navkar Corporation Limited","  153,755 "
"1035","GEPIL","GE Power India Limited","  152,942 "
"1036","BAJEL","Bajel Projects Limited","  152,855 "
"1037","SPAL","S. P. Apparels Limited","  152,287 "
"1038","APTECHT","Aptech Limited","  151,076 "
"1039","ANDHRSUGAR","The Andhra Sugars Limited","  151,054 "
"1040","KUANTUM","Kuantum Papers Limited","  150,268 "
"1041","KRISHANA","Krishana Phoschem Limited","  150,140 "
"1042","KITEX","Kitex Garments Limited","  149,758 "
"1043","CUPID","Cupid Limited","  149,439 "
"1044","POKARNA","Pokarna Limited","  148,866 "
"1045","KABRAEXTRU","Kabra Extrusion Technik Limited","  148,862 "
"1046","STOVEKRAFT","Stove Kraft Limited","  148,716 "
"1047","DPABHUSHAN","D. P. Abhushan Limited","  147,939 "
"1048","MONARCH","Monarch Networth Capital Limited","  147,705 "
"1049","JSLL","Jeena Sikho Lifecare Limited","  146,923 "
"1050","OMINFRAL","OM INFRA LIMITED","  146,671 "
"1051","SURAJEST","Suraj Estate Developers Limited","  146,658 "
"1052","MONTECARLO","Monte Carlo Fashions Limited","  146,638 "
"1053","NACLIND","NACL Industries Limited","  146,628 "
"1054","KOKUYOCMLN","Kokuyo Camlin Limited","  146,193 "
"1055","PENINLAND","Peninsula Land Limited","  145,970 "
"1056","MANGCHEFER","Mangalore Chemicals & Fertilizers Limited","  144,292 "
"1057","IGPL","IG Petrochemicals Limited","  144,243 "
"1058","BLKASHYAP","B. L. Kashyap and Sons Limited","  144,169 "
"1059","KICL","Kalyani Investment Company Limited","  143,782 "
"1060","TAJGVK","Taj GVK Hotels & Resorts Limited","  143,430 "
"1061","EKC","Everest Kanto Cylinder Limited","  142,560 "
"1062","JITFINFRA","JITF Infralogistics Limited","  142,399 "
"1063","HARDWYN","Hardwyn India Limited","  141,995 "
"1064","SYNCOMF","Syncom Formulations (India) Limited","  141,470 "
"1065","BETA","Beta Drugs Limited","  141,323 "
"1066","EIHAHOTELS","EIH Associated Hotels Limited","  140,748 "
"1067","ONWARDTEC","Onward Technologies Limited","  140,614 "
"1068","KSOLVES","Ksolves India Limited","  140,138 "
"1069","ALICON","Alicon Castalloy Limited","  139,964 "
"1070","AVTNPL","AVT Natural Products Limited","  139,568 "
"1071","SATIA","Satia Industries Limited","  139,150 "
"1072","VALIANTORG","Valiant Organics Limited","  138,964 "
"1073","SUMMITSEC","Summit Securities Limited","  138,921 "
"1074","AGARIND","Agarwal Industrial Corporation Limited","  138,367 "
"1075","NGLFINE","NGL Fine-Chem Limited","  137,798 "
"1076","SHREDIGCEM","Shree Digvijay Cement Co.Ltd","  137,597 "
"1077","AWHCL","Antony Waste Handling Cell Limited","  137,483 "
"1078","NELCAST","Nelcast Limited","  137,375 "
"1079","OMAXE","Omaxe Limited","  136,993 "
"1080","MANALIPETC","Manali Petrochemicals Limited","  136,395 "
"1081","HEUBACHIND","Heubach Colorants India Limited","  136,044 "
"1082","INDORAMA","Indo Rama Synthetics (India) Limited","  136,040 "
"1083","COFFEEDAY","Coffee Day Enterprises Limited","  134,990 "
"1084","OAL","Oriental Aromatics Limited","  134,682 "
"1085","AVADHSUGAR","Avadh Sugar & Energy Limited","  133,823 "
"1086","DCMSRIND","DCM Shriram Industries Limited","  133,359 "
"1087","TEXINFRA","Texmaco Infrastructure & Holdings Limited","  133,288 "
"1088","RML","Rane (Madras) Limited","  133,156 "
"1089","REFEX","Refex Industries Limited","  133,155 "
"1090","ROTO","Roto Pumps Limited","  132,226 "
"1091","GULPOLY","Gulshan Polyols Limited","  131,883 "
"1092","MARINE","Marine Electricals (India) Limited","  131,638 "
"1093","SASTASUNDR","Sastasundar Ventures Limited","  130,487 "
"1094","RAMRAT","Ram Ratna Wires Limited","  130,306 "
"1095","SATINDLTD","Sat Industries Limited","  130,161 "
"1096","BLISSGVS","Bliss GVS Pharma Limited","  130,133 "
"1097","SOLARA","Solara Active Pharma Sciences Limited","  130,001 "
"1098","ATL","Allcargo Terminals Limited","  129,113 "
"1099","MATRIMONY","Matrimony.Com Limited","  129,033 "
"1100","GMBREW","GM Breweries Limited","  128,948 "
"1101","STERTOOLS","Sterling Tools Limited","  128,588 "
"1102","SHALPAINTS","Shalimar Paints Limited","  128,329 "
"1103","CLSEL","Chaman Lal Setia Exports Limited","  127,859 "
"1104","INDIANHUME","Indian Hume Pipe Company Limited","  127,859 "
"1105","TVTODAY","TV Today Network Limited","  127,780 "
"1106","REPRO","Repro India Limited","  125,888 "
"1107","IMPAL","India Motor Parts and Accessories Limited","  125,736 "
"1108","STEELCAS","Steelcast Limited","  124,496 "
"1109","HESTERBIO","Hester Biosciences Limited","  124,022 "
"1110","JYOTISTRUC","Jyoti Structures Limited","  122,781 "
"1111","ZOTA","Zota Health Care LImited","  122,116 "
"1112","LINCOLN","Lincoln Pharmaceuticals Limited","  122,081 "
"1113","INDNIPPON","India Nippon Electricals Limited","  120,979 "
"1114","XCHANGING","Xchanging Solutions Limited","  120,038 "
"1115","CENTRUM","Centrum Capital Limited","  117,529 "
"1116","RICOAUTO","Rico Auto Industries Limited","  117,224 "
"1117","FOCUS","Focus Lighting and Fixtures Limited","  117,217 "
"1118","KOPRAN","Kopran Limited","  116,313 "
"1119","BIGBLOC","Bigbloc Construction Limited","  116,021 "
"1120","SHIVALIK","Shivalik Rasayan Limited","  115,746 "
"1121","GICHSGFIN","GIC Housing Finance Limited","  115,537 "
"1122","JAYBARMARU","Jay Bharat Maruti Limited","  115,070 "
"1123","DLINKINDIA","D-Link (India) Limited","  114,858 "
"1124","TFCILTD","Tourism Finance Corporation of India Limited","  114,818 "
"1125","INNOVANA","Innovana Thinklabs Limited","  114,810 "
"1126","EXCELINDUS","Excel Industries Limited","  114,136 "
"1127","ONMOBILE","OnMobile Global Limited","  113,809 "
"1128","GRMOVER","GRM Overseas Limited","  113,550 "
"1129","REMUS","Remus Pharmaceuticals Limited","  112,737 "
"1130","TRACXN","Tracxn Technologies Limited","  112,595 "
"1131","HERCULES","Hercules Hoists Limited","  112,400 "
"1132","AGSTRA","AGS Transact Technologies Limited","  111,630 "
"1133","TREL","Transindia Real Estate Limited","  111,546 "
"1134","ARIHANTSUP","Arihant Superstructures Limited","  111,544 "
"1135","DVL","Dhunseri Ventures Limited","  111,186 "
"1136","UNIENTER","Uniphos Enterprises Limited","  110,474 "
"1137","LIKHITHA","Likhitha Infrastructure Limited","  110,342 "
"1138","GANESHBE","Ganesh Benzoplast Limited","  109,929 "
"1139","SKYGOLD","Sky Gold Limited","  109,432 "
"1140","SPORTKING","Sportking India Limited","  109,095 "
"1141","FAZE3Q","Faze Three Limited","  108,280 "
"1142","KAMOPAINTS","Kamdhenu Ventures Limited","  107,855 "
"1143","CHEMCON","Chemcon Speciality Chemicals Limited","  107,291 "
"1144","RAJRILTD","Raj Rayon Industries Limited","  107,046 "
"1145","GFLLIMITED","GFL Limited","  106,774 "
"1146","INFOBEAN","InfoBeans Technologies Limited","  106,524 "
"1147","CREATIVE","Creative Newtech Limited","  106,170 "
"1148","SMCGLOBAL","SMC Global Securities Limited","  106,113 "
"1149","SNOWMAN","Snowman Logistics Limited","  106,101 "
"1150","CONSOFINVT","Consolidated Finvest & Holdings Limited","  105,966 "
"1151","NINSYS","NINtec Systems Limited","  105,725 "
"1152","ASIANENE","Asian Energy Services Limited","  105,467 "
"1153","MKPL","M K Proteins Limited","  105,167 "
"1154","GIRIRAJ","Giriraj Civil Developers Limited","  104,664 "
"1155","SBGLP","Suratwwala Business Group Limited","  104,085 "
"1156","BODALCHEM","Bodal Chemicals Limited","  104,028 "
"1157","RUSHIL","Rushil Decor Limited","  103,950 "
"1158","V2RETAIL","V2 Retail Limited","  103,906 "
"1159","VISHNUINFR","Vishnusurya Projects and Infra Limited","  103,902 "
"1160","BAJAJHCARE","Bajaj Healthcare Limited","  103,770 "
"1161","CSLFINANCE","CSL Finance Limited","  103,684 "
"1162","RAMCOSYS","Ramco Systems Limited","  102,990 "
"1163","PANACEABIO","Panacea Biotec Limited","  102,840 "
"1164","RSWM","RSWM Limited","  102,446 "
"1165","NAHARSPING","Nahar Spinning Mills Limited","  102,281 "
"1166","JAGSNPHARM","Jagsonpal Pharmaceuticals Limited","  101,884 "
"1167","SKMEGGPROD","SKM Egg Products Export (India) Limited","  101,634 "
"1168","DBOL","Dhampur Bio Organics Limited","  101,540 "
"1169","NCLIND","NCL Industries Limited","  100,575 "
"1170","SMSPHARMA","SMS Pharmaceuticals Limited","  100,482 "
"1171","ACL","Andhra Cements Limited","  100,422 "
"1172","VHL","Vardhman Holdings Limited","  100,336 "
"1173","NDRAUTO","Ndr Auto Components Limited","  99,857 "
"1174","LINC","Linc Limited","  99,473 "
"1175","ALLSEC","Allsec Technologies Limited","  99,430 "
"1176","ONEPOINT","One Point One Solutions Limited","  99,185 "
"1177","RGL","Renaissance Global Limited","  99,112 "
"1178","DENTALKART","Vasa Denticity Limited","  99,100 "
"1179","STEELXIND","STEEL EXCHANGE INDIA LIMITED","  98,628 "
"1180","KAMDHENU","Kamdhenu Limited","  98,557 "
"1181","AMBIKCO","Ambika Cotton Mills Limited","  98,364 "
"1182","KELLTONTEC","Kellton Tech Solutions Limited","  97,860 "
"1183","ICEMAKE","Ice Make Refrigeration Limited","  97,329 "
"1184","SPENCERS","Spencer's Retail Limited","  97,125 "
"1185","MOTISONS","Motisons Jewellers Limited","  96,625 "
"1186","SRHHYPOLTD","Sree Rayalaseema Hi-Strength Hypo Limited","  96,295 "
"1187","MAGADSUGAR","Magadh Sugar & Energy Limited","  96,063 "
"1188","GPTINFRA","GPT Infraprojects Limited","  95,984 "
"1189","SCHAND","S Chand And Company Limited","  95,967 "
"1190","ASIANTILES","Asian Granito India Limited","  95,439 "
"1191","DYCL","Dynamic Cables Limited","  95,387 "
"1192","SUTLEJTEX","Sutlej Textiles and Industries Limited","  95,266 "
"1193","E2E","E2E Networks Limited","  95,232 "
"1194","WEBELSOLAR","Websol Energy System Limited","  95,189 "
"1195","RADIANTCMS","Radiant Cash Management Services Limited","  95,023 "
"1196","PPL","Prakash Pipes Limited","  94,992 "
"1197","CENTENKA","Century Enka Limited","  94,930 "
"1198","ZEEMEDIA","Zee Media Corporation Limited","  94,440 "
"1199","GANDHITUBE","Gandhi Special Tubes Limited","  94,170 "
"1200","MSPL","MSP Steel & Power Limited","  93,849 "
"1201","YUKEN","Yuken India Limited","  92,963 "
"1202","HIRECT","Hind Rectifiers Limited","  92,469 "
"1203","EIMCOELECO","Eimco Elecon (India) Limited","  92,291 "
"1204","UGARSUGAR","The Ugar Sugar Works Limited","  92,138 "
"1205","AMNPLST","Amines & Plasticizers Limited","  92,103 "
"1206","HPAL","HP Adhesives Limited","  92,058 "
"1207","SREEL","Sreeleathers Limited","  91,960 "
"1208","ORIENTPPR","Orient Paper & Industries Limited","  91,770 "
"1209","SPECIALITY","Speciality Restaurants Limited","  90,853 "
"1210","JUBLINDS","Jubilant Industries Limited","  90,689 "
"1211","TRU","TruCap Finance Limited","  90,597 "
"1212","ORIANA","Oriana Power Limited","  90,340 "
"1213","TNPETRO","Tamilnadu PetroProducts Limited","  90,241 "
"1214","VIMTALABS","Vimta Labs Limited","  89,448 "
"1215","DPWIRES","D P Wires Limited","  89,324 "
"1216","KERNEX","Kernex Microsystems (India) Limited","  89,224 "
"1217","WINDLAS","Windlas Biotech Limited","  89,174 "
"1218","DHARMAJ","Dharmaj Crop Guard Limited","  88,667 "
"1219","VINYAS","Vinyas Innovative Technologies Limited","  88,596 "
"1220","INDOAMIN","Indo Amines Limited","  88,372 "
"1221","SILVERTUC","Silver Touch Technologies Limited","  88,139 "
"1222","GKWLIMITED","GKW Limited","  87,857 "
"1223","ASALCBR","Associated Alcohols & Breweries Ltd.","  87,512 "
"1224","MUNJALAU","Munjal Auto Industries Limited","  87,100 "
"1225","ENIL","Entertainment Network (India) Limited","  87,022 "
"1226","BLAL","BEML Land Assets Limited","  86,870 "
"1227","ROHLTD","Royal Orchid Hotels Limited","  86,842 "
"1228","CHEVIOT","Cheviot Company Limited","  86,727 "
"1229","WALCHANNAG","Walchandnagar Industries Limited","  86,664 "
"1230","MANAKSIA","Manaksia Limited","  86,145 "
"1231","HITECHGEAR","The Hi-Tech Gears Limited","  86,033 "
"1232","FOODSIN","Foods & Inns Limited","  85,950 "
"1233","PAKKA","PAKKA LIMITED","  85,719 "
"1234","BIRLACABLE","Birla Cable Limited","  85,680 "
"1235","KOTHARIPET","Kothari Petrochemicals Limited","  85,474 "
"1236","SAKAR","Sakar Healthcare Limited","  85,410 "
"1237","KOTYARK","Kotyark Industries Limited","  85,352 "
"1238","TBZ","Tribhovandas Bhimji Zaveri Limited","  85,315 "
"1239","SANDESH","The Sandesh Limited","  85,016 "
"1240","HEXATRADEX","Hexa Tradex Limited","  84,994 "
"1241","BCONCEPTS","Brand Concepts Limited","  84,830 "
"1242","VINYLINDIA","Vinyl Chemicals (India) Limited","  83,471 "
"1243","OCCL","Oriental Carbon & Chemicals Limited","  82,848 "
"1244","DMCC","DMCC SPECIALITY CHEMICALS LIMITED","  82,688 "
"1245","3IINFOLTD","3i Infotech Limited","  82,611 "
"1246","STCINDIA","The State Trading Corporation of India Limited","  82,440 "
"1247","CREST","Crest Ventures Limited","  82,036 "
"1248","DENORA","De Nora India Limited","  81,466 "
"1249","SWELECTES","Swelect Energy Systems Limited","  80,190 "
"1250","ZUARI","Zuari Agro Chemicals Limited","  79,469 "
"1251","DECCANCE","Deccan Cements Limited","  79,128 "
"1252","DSSL","Dynacons Systems & Solutions Limited","  78,678 "
"1253","MOLDTECH","Mold-Tek Technologies Limited","  78,515 "
"1254","RUBYMILLS","The Ruby Mills Limited","  78,066 "
"1255","DHANBANK","Dhanlaxmi Bank Limited","  77,548 "
"1256","URJA","Urja Global Limited","  77,242 "
"1257","NAGAFERT","Nagarjuna Fertilizers and Chemicals Limited","  77,150 "
"1258","MAANALU","Maan Aluminium Limited","  76,963 "
"1259","MENONBE","Menon Bearings Limited","  76,943 "
"1260","SUKHJITS","Sukhjit Starch & Chemicals Limited","  76,595 "
"1261","PLASTIBLEN","Plastiblends India Limited","  76,434 "
"1262","MEDICAMEQ","Medicamen Biotech Limited","  76,305 "
"1263","GSLSU","Global Surfaces Limited","  76,266 "
"1264","ADSL","Allied Digital Services Limited","  75,744 "
"1265","VALIANTLAB","Valiant Laboratories Limited","  75,255 "
"1266","BALAJITELE","Balaji Telefilms Limited","  75,241 "
"1267","JAYAGROGN","Jayant Agro Organics Limited","  74,940 "
"1268","SELAN","Selan Exploration Technology Limited","  74,898 "
"1269","MICEL","MIC Electronics Limited","  74,849 "
"1270","VISAKAIND","Visaka Industries Limited","  74,611 "
"1271","ESTER","Ester Industries Limited","  74,054 "
"1272","EMKAYTOOLS","Emkay Taps and Cutting Tools Limited","  73,952 "
"1273","KECL","Kirloskar Electric Company Limited","  73,520 "
"1274","ELIN","Elin Electronics Limited","  73,421 "
"1275","INDOBORAX","Indo Borax & Chemicals Limited","  72,989 "
"1276","ARIHANTCAP","Arihant Capital Markets Limited","  72,358 "
"1277","DHUNINV","Dhunseri Investments Limited","  72,188 "
"1278","NECLIFE","Nectar Lifesciences Limited","  72,100 "
"1279","SEMAC","SEMAC CONSULTANTS LIMITED","  71,920 "
"1280","EMAMIPAP","Emami Paper Mills Limited","  71,903 "
"1281","BHAGERIA","Bhageria Industries Limited","  71,336 "
"1282","ELDEHSG","Eldeco Housing And Industries Limited","  71,299 "
"1283","VLSFINANCE","VLS Finance Limited","  71,161 "
"1284","VIKASLIFE","Vikas Lifecare Limited","  71,128 "
"1285","SHREEPUSHK","Shree Pushkar Chemicals & Fertilisers Limited","  71,032 "
"1286","FCSSOFT","FCS Software Solutions Limited","  70,946 "
"1287","PYRAMID","Pyramid Technoplast Limited","  70,829 "
"1288","CHEMBOND","Chembond Chemicals Ltd","  70,577 "
"1289","MAXIND","Max India Limited","  70,455 "
"1290","INDOTECH","Indo Tech Transformers Limited","  70,347 "
"1291","BGRENERGY","BGR Energy Systems Limited","  70,141 "
"1292","APEX","Apex Frozen Foods Limited","  69,922 "
"1293","MEDICO","Medico Remedies Limited","  69,541 "
"1294","BASILIC","Basilic Fly Studio Limited","  68,512 "
"1295","MALLCOM","Mallcom (India) Limited","  68,428 "
"1296","NRAIL","N R Agarwal Industries Limited","  67,770 "
"1297","SALZERELEC","Salzer Electronics Limited","  67,415 "
"1298","AXITA","Axita Cotton Limited","  67,177 "
"1299","OSWALGREEN","Oswal Greentech Limited","  67,027 "
"1300","KHAICHEM","Khaitan Chemicals & Fertilizers Limited","  66,971 "
"1301","HMVL","Hindustan Media Ventures Limited","  66,931 "
"1302","HCL-INSYS","HCL Infosystems Limited","  66,830 "
"1303","HINDCOMPOS","Hindustan Composites Limited","  66,785 "
"1304","CELLECOR","Cellecor Gadgets Limited","  66,709 "
"1305","GHCLTEXTIL","GHCL Textiles Limited","  66,575 "
"1306","KAMATHOTEL","Kamat Hotels (I) Limited","  66,563 "
"1307","ASAL","Automotive Stampings and Assemblies Limited","  66,551 "
"1308","TVSELECT","TVS Electronics Limited","  66,423 "
"1309","ARROWGREEN","Arrow Greentech Limited","  66,319 "
"1310","ESSARSHPNG","Essar Shipping Limited","  66,232 "
"1311","IRISDOREME","Iris Clothings Limited","  66,195 "
"1312","RBL","Rane Brake Lining Limited","  65,932 "
"1313","RITCO","Ritco Logistics Limited","  65,769 "
"1314","JETAIRWAYS","Jet Airways (India) Limited","  65,432 "
"1315","VERTOZ","Vertoz Advertising Limited","  65,249 "
"1316","LOKESHMACH","Lokesh Machines Limited","  65,207 "
"1317","DIGISPICE","DiGiSPICE Technologies Limited","  65,114 "
"1318","JPOLYINVST","Jindal Poly Investment and Finance Company Limited","  64,606 "
"1319","GRPLTD","GRP Limited","  64,067 "
"1320","KHADIM","Khadim India Limited","  64,044 "
"1321","MIRZAINT","Mirza International Limited","  63,987 "
"1322","VLEGOV","VL E-Governance & IT Solutions Limited","  63,889 "
"1323","HUBTOWN","Hubtown Limited","  63,588 "
"1324","SBC","SBC Exports Limited","  63,492 "
"1325","APCL","Anjani Portland Cement Limited","  62,421 "
"1326","DEEPENR","DEEP ENERGY RESOURCES LIMITED","  62,336 "
"1327","20MICRONS","20 Microns Limited","  62,175 "
"1328","MUTHOOTCAP","Muthoot Capital Services Limited","  61,703 "
"1329","RACE","Race Eco Chain Limited","  61,571 "
"1330","ACCENTMIC","Accent Microcell Limited","  61,530 "
"1331","SHREYAS","Shreyas Shipping & Logistics Limited","  61,251 "
"1332","INDSWFTLAB","Ind-Swift Laboratories Limited","  61,184 "
"1333","GLOBAL","Global Education Limited","  61,112 "
"1334","ORIENTCER","ORIENT CERATECH LIMITED","  61,076 "
"1335","JINDALPHOT","Jindal Photo Limited","  60,934 "
"1336","KRISHIVAL","Krishival Foods Limited","  60,643 "
"1337","THEINVEST","The Investment Trust Of India Limited","  60,627 "
"1338","MACPOWER","Macpower CNC Machines Limited","  59,795 "
"1339","KILITCH","Kilitch Drugs (India) Limited","  59,392 "
"1340","STEL","Stel Holdings Limited","  59,380 "
"1341","MINDTECK","Mindteck (India) Limited","  59,309 "
"1342","ORIENTBELL","Orient Bell Limited","  59,256 "
"1343","HTMEDIA","HT Media Limited","  59,234 "
