"id","Symbol","Company","Marketcap"
"147","BANKINDIA","Bank of India","  5,126,304 "
"148","ASTRAL","Astral Limited","  5,124,195 "
"149","SAIL","Steel Authority of India Limited","  5,107,395 "
"150","TATACOMM","Tata Communications Limited","  5,045,355 "
"151","SCHAEFFLER","Schaeffler India Limited","  5,006,407 "
"152","BALKRISIND","Balkrishna Industries Limited","  4,965,449 "
"153","NYKAA","FSN E-Commerce Ventures Limited","  4,964,809 "
"154","GMRINFRA","GMR Airports Infrastructure Limited","  4,861,954 "
"155","LINDEINDIA","Linde India Limited","  4,810,201 "
"156","TATATECH","Tata Technologies Limited","  4,787,497 "
"157","UCOBANK","UCO Bank","  4,752,493 "
"158","PRESTIGE","Prestige Estates Projects Limited","  4,725,758 "
"159","UBL","United Breweries Limited","  4,720,029 "
"160","JSL","Jindal Stainless Limited","  4,710,869 "
"161","AWL","Adani Wilmar Limited","  4,612,559 "
"162","MAZDOCK","Mazagon Dock Shipbuilders Limited","  4,600,347 "
"163","TORNTPOWER","Torrent Power Limited","  4,488,240 "
"164","UPL","UPL Limited","  4,407,943 "
"165","JSWINFRA","JSW Infrastructure Limited","  4,374,303 "
"166","CENTRALBK","Central Bank of India","  4,349,151 "
"167","ABCAPITAL","Aditya Birla Capital Limited","  4,325,674 "
"168","PAGEIND","Page Industries Limited","  4,295,664 "
"169","DALBHARAT","Dalmia Bharat Limited","  4,267,084 "
"170","APLAPOLLO","APL Apollo Tubes Limited","  4,264,805 "
"171","3MINDIA","3M India Limited","  4,202,902 "
"172","ACC","ACC Limited","  4,152,446 "
"173","KPITTECH","KPIT Technologies Limited","  4,150,126 "
"174","L&TFH","L&T Finance Holdings Limited","  4,105,748 "
"175","FLUOROCHEM","Gujarat Fluorochemicals Limited","  4,063,626 "
"176","OIL","Oil India Limited","  4,035,614 "
"177","PAYTM","One 97 Communications Limited","  4,033,981 "
"178","PHOENIXLTD","The Phoenix Mills Limited","  4,010,390 "
"179","UNOMINDA","UNO Minda Limited","  3,941,111 "
"180","DIXON","Dixon Technologies (India) Limited","  3,927,783 "
"181","SUNDARMFIN","Sundaram Finance Limited","  3,897,857 "
"182","BANDHANBNK","Bandhan Bank Limited","  3,888,730 "
"183","COFORGE","Coforge Limited","  3,869,387 "
"184","FEDERALBNK","The Federal Bank  Limited","  3,801,009 "
"185","RVNL","Rail Vikas Nigam Limited","  3,785,354 "
"186","SONACOMS","Sona BLW Precision Forgings Limited","  3,779,617 "
"187","JUBLFOOD","Jubilant Foodworks Limited","  3,728,455 "
"188","COROMANDEL","Coromandel International Limited","  3,684,777 "
"189","THERMAX","Thermax Limited","  3,671,801 "
"190","OFSS","Oracle Financial Services Software Limited","  3,649,032 "
"191","KALYANKJIL","Kalyan Jewellers India Limited","  3,647,418 "
"192","POLICYBZR","PB Fintech Limited","  3,580,970 "
"193","SJVN","SJVN Limited","  3,574,149 "
"194","NLCINDIA","NLC India Limited","  3,514,430 "
"195","AIAENG","AIA Engineering Limited","  3,479,950 "
"196","NIACL","The New India Assurance Company Limited","  3,466,568 "
"197","METROBRAND","Metro Brands Limited","  3,458,672 "
"198","M&MFIN","Mahindra & Mahindra Financial Services Limited","  3,418,711 "
"199","DEEPAKNTR","Deepak Nitrite Limited","  3,384,184 "
"200","POONAWALLA","Poonawalla Fincorp Limited","  3,348,033 "
"201","PETRONET","Petronet LNG Limited","  3,339,750 "
"202","ESCORTS","Escorts Kubota Limited","  3,296,274 "
"203","MFSL","Max Financial Services Limited","  3,293,430 "
"204","HONAUT","Honeywell Automation India Limited","  3,257,836 "
"205","VOLTAS","Voltas Limited","  3,237,211 "
"206","GLAXO","GlaxoSmithKline Pharmaceuticals Limited","  3,215,581 "
"207","MAHABANK","Bank of Maharashtra","  3,197,240 "
"208","GUJGASLTD","Gujarat Gas Limited","  3,176,920 "
"209","CRISIL","CRISIL Limited","  3,170,754 "
"210","GLAND","Gland Pharma Limited","  3,169,689 "
"211","FORTIS","Fortis Healthcare Limited","  3,164,785 "
"212","BDL","Bharat Dynamics Limited","  3,138,416 "
"213","STARHEALTH","Star Health and Allied Insurance Company Limited","  3,124,399 "
"214","MANYAVAR","Vedant Fashions Limited","  3,078,733 "
"215","ZFCVINDIA","ZF Commercial Vehicle Control Systems India Limited","  3,036,122 "
"216","LLOYDSME","Lloyds Metals And Energy Limited","  3,027,936 "
"217","BSE","BSE Limited","  3,006,980 "
"218","BIOCON","Biocon Limited","  2,997,298 "
"219","LICHSGFIN","LIC Housing Finance Limited","  2,948,888 "
